Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/28/2025,12/28/2025,LETSGO NETWORK INCORPO,Personal,Sale,-4.69,
12/27/2025,12/28/2025,Ralph Lauren Corporation,Shopping,Sale,-109.99,
12/27/2025,12/28/2025,AMNH,Gifts & Donations,Sale,-5.00,
12/24/2025,12/25/2025,MACYS   .COM,Shopping,Sale,-99.99,
12/24/2025,12/25/2025,DUNKIN #359066,Food & Drink,Sale,-9.24,
12/22/2025,12/24/2025,WEIXIN*same-way travel,Shopping,Sale,-146.15,
12/23/2025,12/23/2025,Payment Thank You-Mobile,,Payment,685.35,
12/20/2025,12/22/2025,WEIXIN*same-way travel,Travel,Sale,-246.95,
12/19/2025,12/21/2025,NYCDOT PARKNYC,Travel,Sale,-1.20,
12/20/2025,12/21/2025,NYCDOT PARKNYC,Travel,Sale,-1.70,
12/19/2025,12/21/2025,REGAL CINEMAS INC,Entertainment,Sale,-4.00,
12/19/2025,12/21/2025,STAR MARKET,Groceries,Sale,-22.70,
12/19/2025,12/21/2025,TICKETS AT WORK,Entertainment,Sale,-23.47,
12/19/2025,12/21/2025,GOLDEN SANDS CAFE INC,Food & Drink,Sale,-9.32,
12/18/2025,12/19/2025,BP#34122123010 OCEAN BP,Gas,Sale,-46.98,
12/18/2025,12/19/2025,BP#34122123010 OCEAN BP,Gas,Sale,-37.07,
12/18/2025,12/19/2025,PERFECT BEAUTY SPA CENTE,Health & Wellness,Sale,-105.00,
12/17/2025,12/18/2025,ABERCROMBIE &amp; FITCH,Shopping,Sale,-102.25,
12/17/2025,12/18/2025,PHO VIET-NAM VIETNAMESE,Food & Drink,Sale,-15.73,
12/16/2025,12/18/2025,SHEEPSHEAD BAY MARKET,Groceries,Sale,-11.36,
12/16/2025,12/17/2025,CLR*ClubPilate7187010242,Health & Wellness,Sale,-26.22,
12/16/2025,12/17/2025,OCEAN WAREHOUSE LIQUORS.,Food & Drink,Sale,-9.20,
12/15/2025,12/16/2025,STOP &amp; SHOP 0505,Groceries,Sale,-22.20,
12/15/2025,12/15/2025,Payment Thank You-Mobile,,Payment,555.67,
12/13/2025,12/14/2025,UEP*MAKAN HOUSE,Food & Drink,Sale,-88.39,
12/12/2025,12/14/2025,CVS/PHARMACY #02700,Health & Wellness,Sale,-8.79,
12/12/2025,12/14/2025,NET COST 3100 OCEAN AVE,Groceries,Sale,-5.99,
12/12/2025,12/14/2025,BP#34122123010 OCEAN BP,Gas,Sale,-38.22,
12/12/2025,12/14/2025,ROLL-N-ROASTER,Food & Drink,Sale,-6.26,
12/13/2025,12/14/2025,TICKETS AT WORK,Entertainment,Sale,-25.50,
12/12/2025,12/14/2025,TST* VATO NYC,Food & Drink,Sale,-40.27,
12/12/2025,12/14/2025,NYCDOT PARKNYC,Travel,Sale,-2.20,
12/12/2025,12/14/2025,SP ALO-YOGA,Shopping,Return,207.20,
12/11/2025,12/12/2025,TST*SUKI DESU,Food & Drink,Sale,-32.86,
12/11/2025,12/12/2025,TARGET        00033878,Shopping,Sale,-2.69,
12/08/2025,12/10/2025,SP MOMA DESIGN STORE,Home,Return,43.55,
12/06/2025,12/08/2025,HAYASHI JAPANESE CUISINE,Food & Drink,Sale,-20.14,
12/06/2025,12/08/2025,AUNTIE ANNE'S FL265,Food & Drink,Sale,-13.40,
12/07/2025,12/08/2025,GOLDEN SANDS CAFE INC,Food & Drink,Sale,-26.13,
12/05/2025,12/07/2025,UBER   *TRIP,Travel,Sale,-54.36,
12/05/2025,12/07/2025,UBER   *EATS,Food & Drink,Sale,-25.03,
12/05/2025,12/07/2025,UBER   *EATS,Food & Drink,Sale,-29.18,
12/03/2025,12/05/2025,BCD TOFU HOUSE,Food & Drink,Sale,-47.55,
12/03/2025,12/04/2025,Payment Thank You-Mobile,,Payment,80.82,
12/02/2025,12/03/2025,CPI*CANTEEN VENDING FRMNG,Food & Drink,Sale,-3.00,
12/01/2025,12/03/2025,SP MOMA DESIGN STORE,Home,Sale,-43.55,
12/01/2025,12/03/2025,DD *DOORDASH 7-ELEVEN,Food & Drink,Sale,-6.16,
12/01/2025,12/01/2025,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-95.00,
11/30/2025,12/01/2025,DUBUHAUS,Food & Drink,Sale,-80.00,
12/01/2025,12/01/2025,UBER   *EATS,Food & Drink,Sale,-68.24,
12/01/2025,12/01/2025,CITIBIK*1 RIDE,Travel,Sale,-7.62,
11/30/2025,12/01/2025,DUBUHAUS,Food & Drink,Sale,-22.86,
11/28/2025,11/30/2025,PAPA JOHN'S #3702,Food & Drink,Sale,-13.03,
