Transaction Date,Post Date,Description,Category,Type,Amount,Memo
01/27/2026,01/28/2026,MTA*NYCT PAYGO,Travel,Sale,-3.00,
01/25/2026,01/25/2026,Payment Thank You-Mobile,,Payment,622.99,
01/23/2026,01/25/2026,MACYS  HERALD SQUARE,Shopping,Return,99.99,
01/24/2026,01/25/2026,DAY FRESH 8 AVE INC,Groceries,Sale,-64.29,
01/22/2026,01/23/2026,BP#34122123010 OCEAN BP,Gas,Sale,-37.50,
01/19/2026,01/21/2026,NARITA AIRPORT,Shopping,Sale,-28.93,
01/19/2026,01/20/2026,Uber B.V.,Travel,Return,14.10,
01/19/2026,01/20/2026,Uber B.V.,Travel,Sale,-14.11,
01/18/2026,01/20/2026,KPay*GOLDEN GROUP AS,Food & Drink,Sale,-29.12,
01/18/2026,01/20/2026,Keeta,Food & Drink,Sale,-23.40,
01/18/2026,01/20/2026,MTR - RIDES,Travel,Sale,-2.14,
01/18/2026,01/19/2026,Keeta,Food & Drink,Sale,-12.98,
01/17/2026,01/19/2026,MTR - RIDES,Travel,Sale,-1.99,
01/18/2026,01/19/2026,BAKEHOUSE,Food & Drink,Sale,-1.80,
01/18/2026,01/19/2026,EB *117 DJ IANGELO SPA,Entertainment,Sale,-54.39,
01/17/2026,01/18/2026,HOTEL INDIGO XIAMEN HARBO,Travel,Sale,-110.83,
01/16/2026,01/18/2026,ALP*OtherRetail,Shopping,Sale,-22.96,
01/15/2026,01/16/2026,CLR*ClubPilate7187010242,Health & Wellness,Sale,-26.22,
01/14/2026,01/15/2026,12306,Travel,Return,27.08,
01/14/2026,01/15/2026,12306,Travel,Return,27.08,
01/11/2026,01/13/2026,BLOOMINGDALES  .COM,Shopping,Return,24.67,
01/10/2026,01/12/2026,ALP*OtherRetail,Shopping,Sale,-13.61,
12/29/2025,01/12/2026,WEIXIN*China Railway N,Travel,Return,28.40,
01/11/2026,01/12/2026,ALP*Taobao,Automotive,Sale,-3.32,
01/10/2026,01/12/2026,ALP*sunzhidan,Personal,Sale,-2.87,
12/29/2025,01/12/2026,WEIXIN*China Railway N,Travel,Return,28.40,
01/10/2026,01/12/2026,ALP*Mei tuan,Shopping,Sale,-28.37,
01/10/2026,01/12/2026,ALP*suzhouqingxingpinp,Entertainment,Sale,-2.29,
01/10/2026,01/12/2026,ALP*OtherRetail,Shopping,Sale,-2.95,
01/10/2026,01/11/2026,ALP*guangzhouchanglin,Personal,Sale,-3.30,
12/28/2025,01/11/2026,WEIXIN*China Railway N,Travel,Return,21.20,
01/10/2026,01/11/2026,ALP*OtherRetail,Shopping,Sale,-1.71,
01/10/2026,01/11/2026,ALP*liyongzhi,Personal,Sale,-1.43,
01/09/2026,01/11/2026,EastNanjingRoadBranchofSh,Travel,Sale,-217.14,
01/08/2026,01/11/2026,WEIXIN*Shanghai Baiyun,Food & Drink,Sale,-13.58,
01/08/2026,01/11/2026,WEIXIN*Shanghai Baiyun,Food & Drink,Sale,-6.76,
01/10/2026,01/11/2026,ALP*OtherRetail,Shopping,Sale,-26.65,
01/08/2026,01/09/2026,UBER   *ONE MEMBERSHIP,Travel,Sale,-3.00,
01/08/2026,01/08/2026,Payment Thank You-Mobile,,Payment,508.14,
01/08/2026,01/08/2026,HARMAY,Shopping,Sale,-100.57,
01/06/2026,01/07/2026,NYCDOT PARKNYC,Travel,Sale,-0.70,
01/06/2026,01/07/2026,THE BOWERY BAY @LGA 705,Shopping,Sale,-4.45,
01/06/2026,01/07/2026,NYCDOT PARKNYC,Travel,Sale,-1.20,
01/06/2026,01/07/2026,NYCDOT PARKNYC,Travel,Sale,-0.95,
01/05/2026,01/06/2026,BAGEL BOY,Food & Drink,Sale,-15.50,
01/04/2026,01/05/2026,12306,Travel,Sale,-139.89,
01/04/2026,01/05/2026,BLOOMINGDALES  .COM,Shopping,Sale,-24.67,
01/04/2026,01/05/2026,NYCDOT PARKNYC,Travel,Sale,-1.70,
01/04/2026,01/05/2026,PRINCE TEA HOUSE,Food & Drink,Sale,-17.83,
01/04/2026,01/05/2026,TST* MANGO MANGO DESSERT,Food & Drink,Sale,-5.44,
01/03/2026,01/04/2026,12306,Travel,Sale,-60.07,
01/01/2026,01/04/2026,McDonalds 4025,Food & Drink,Sale,-6.53,
01/02/2026,01/04/2026,547 BROADWAY  NY-ANF,Shopping,Return,46.39,
01/02/2026,01/04/2026,HEYTEA-NY MED Grand St,Food & Drink,Sale,-6.82,
01/01/2026,01/02/2026,UBER   *TRIP,Travel,Sale,-10.84,
12/31/2025,01/02/2026,OCEAN WAREHOUSE LIQUORS.,Food & Drink,Sale,-21.00,
01/02/2026,01/02/2026,Amazon.com*IO6GD5DG3,Shopping,Sale,-23.72,
01/01/2026,01/01/2026,Payment Thank You-Mobile,,Payment,300.00,
12/31/2025,01/01/2026,WEIXIN China Railway,Travel,Sale,-155.11,
12/31/2025,01/01/2026,DICE.FM,Entertainment,Sale,-266.66,
12/30/2025,12/30/2025,Payment Thank You-Mobile,,Payment,375.06,
12/28/2025,12/30/2025,WEIXIN*China Railway N,Travel,Sale,-62.91,
12/27/2025,12/29/2025,WEIXIN*China Railway N,Travel,Sale,-21.12,
12/28/2025,12/29/2025,Amazon.com*LJ1XC1KL3,Shopping,Sale,-7.42,
