Transaction Date,Post Date,Description,Category,Type,Amount,Memo
10/27/2025,10/28/2025,BP#34122123010 OCEAN BP,Gas,Sale,-41.42,
10/22/2025,10/27/2025,Offer:Shake Shack,Fees & Adjustments,Adjustment,1.52,
10/27/2025,10/27/2025,CITIBIK*1 RIDE,Travel,Sale,-2.45,
10/26/2025,10/27/2025,SQ *THE WINGBAR,Food & Drink,Sale,-57.58,
10/25/2025,10/27/2025,TAIWAN STATION,Food & Drink,Sale,-45.00,
10/24/2025,10/27/2025,MR EASY,Food & Drink,Sale,-28.31,
10/26/2025,10/26/2025,Payment Thank You-Mobile,,Payment,692.27,
10/25/2025,10/26/2025,ABERCROMBIE &amp; FITCH,Shopping,Sale,-72.00,
10/25/2025,10/26/2025,CVS/PHARMACY #02700,Health & Wellness,Sale,-3.80,
10/25/2025,10/26/2025,NYCDOT PARKNYC,Travel,Sale,-3.20,
10/24/2025,10/26/2025,COTTI COFFEE 54 ST,Food & Drink,Sale,-8.71,
10/24/2025,10/26/2025,AMAZON MKTPL*NU6C35PQ2,Shopping,Sale,-42.63,
10/23/2025,10/24/2025,SHAKE SHACK - 1197A,Food & Drink,Sale,-15.23,
10/23/2025,10/24/2025,HULA POKE.,Food & Drink,Sale,-15.19,
10/20/2025,10/21/2025,XUN YU SI KAO,Food & Drink,Sale,-96.35,
10/19/2025,10/20/2025,UEP*ONE CUP TEA,Food & Drink,Sale,-19.43,
10/18/2025,10/19/2025,SIPA STUDENT ASSOCIATI,Education,Sale,-35.00,
10/18/2025,10/19/2025,OMNYWEB*,Travel,Sale,-5.80,
10/17/2025,10/17/2025,Groupon  Inc.,Personal,Sale,-42.87,
10/16/2025,10/17/2025,SIPA STUDENT ASSOCIATI,Education,Sale,-65.00,
10/16/2025,10/17/2025,BP#34122123010 OCEAN BP,Gas,Sale,-39.62,
10/15/2025,10/16/2025,CLR*ClubPilate7187010242,Health & Wellness,Sale,-215.37,
10/15/2025,10/16/2025,McDonalds 1096,Food & Drink,Sale,-5.11,
10/15/2025,10/15/2025,OMNYWEB*,Travel,Sale,-10.00,
10/13/2025,10/13/2025,Payment Thank You-Mobile,,Payment,462.37,
10/11/2025,10/13/2025,EAST VILLAGE WINE AND LIQ,Food & Drink,Sale,-5.63,
10/12/2025,10/13/2025,VICTORIAS SECRET AND C,Shopping,Sale,-75.72,
10/12/2025,10/13/2025,SQ *HOUSE OF JOY,Food & Drink,Sale,-36.00,
10/11/2025,10/13/2025,L.E.S MINIMART,Groceries,Sale,-2.34,
10/12/2025,10/13/2025,HEYTEA-Herald Square,Food & Drink,Sale,-7.61,
10/11/2025,10/12/2025,SQ *BIRRIA LES RIVINGTON,Food & Drink,Sale,-9.80,
10/11/2025,10/12/2025,SQ *BAYA BAR,Food & Drink,Sale,-12.36,
10/11/2025,10/12/2025,TST* MAJOR FOOD GROUP - T,Food & Drink,Sale,-169.00,
10/09/2025,10/12/2025,TST*SOUTH OF THE CLOUDS,Food & Drink,Sale,-53.90,
10/10/2025,10/12/2025,PHO VIET-NAM VIETNAMESE,Food & Drink,Sale,-56.82,
10/07/2025,10/09/2025,CPI*CANTEEN VENDING FRMNG,Food & Drink,Sale,-3.00,
10/08/2025,10/09/2025,DUN HUANG (NYC_UPPER W,Food & Drink,Sale,-14.16,
10/08/2025,10/09/2025,POPEYES 13113,Food & Drink,Sale,-5.44,
10/07/2025,10/08/2025,CPI*CANTEEN VENDING FRMNG,Food & Drink,Sale,-3.00,
10/06/2025,10/08/2025,NAISNOW FLUSHING,Food & Drink,Sale,-16.72,
10/05/2025,10/06/2025,PROSE,Shopping,Sale,-45.73,
10/04/2025,10/06/2025,MTA*NYCT PAYGO,Travel,Sale,-2.90,
10/04/2025,10/05/2025,BP#34122123010 OCEAN BP,Gas,Sale,-35.46,
10/03/2025,10/05/2025,LinkedInPreA *49914924,Bills & Utilities,Sale,-21.76,
10/03/2025,10/03/2025,Payment Thank You-Mobile,,Payment,453.45,
10/02/2025,10/03/2025,TARGET        00033563,Shopping,Sale,-12.32,
10/02/2025,10/02/2025,UBER   *EATS,Food & Drink,Sale,-17.67,
10/01/2025,10/02/2025,DUN HUANG (NYC_UPPER W,Food & Drink,Sale,-13.07,
09/29/2025,09/29/2025,Payment Thank You-Mobile,,Payment,600.00,
09/29/2025,09/29/2025,CITIBIK*1 RIDE,Travel,Sale,-8.44,
09/28/2025,09/29/2025,AMAZON MKTPL*NJ78F0U70,Shopping,Sale,-5.43,
